Variable,Contractor,2025,2030,2035,2040,2045,Notes
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Butte County,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Folsom,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Redding,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Roseville,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of West Sacramento,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Yuba City,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),El Dorado Irrigation District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Napa County Flood Control & Water Conservation District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Placer County Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Sacramento County Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),San Juan Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Shasta Contractors,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Solano County Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Avenal,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Coalinga,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Fresno,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Huron,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Lindsay,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Orange Cove,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),City of Tracy,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Kern County Water Agency Improvement District No 4,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Other Friant-Kern M&I Contractors,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Stockton-East Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),"Alameda County Flood Control and Water Conservation District, Zone 7",5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Alameda County Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Contra Costa Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),East Bay Municipal Utilities District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),"San Benito County Water District, Zone 6",5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Santa Clara Valley Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),San Luis Obispo County Flood Control & Water Conservation District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Santa Barbara County Flood Control & Water Conservation District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Antelope Valley-East Kern Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Santa Clarita Water Division,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Coachella Valley Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Crestline-Lake Arrowhead Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Desert Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Metropolitan Water District of Southern California,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Mojave Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Palmdale Water District & Littlerock Creek Irrigation District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),San Bernardino Valley Municipal Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),San Gabriel Valley Municipal Water District,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),San Gorgonio Pass Water Agency,5,5,5,5,5,
Shortage Threshold before Water Market Transfer Supplies are Delivered (% of Total Applied Use),Ventura County Watershed Protection District,5,5,5,5,5,
Water Market Transfer Loss Factor (%),Butte County,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),City of Folsom,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),City of Redding,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),City of Roseville,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),City of West Sacramento,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),Yuba City,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),El Dorado Irrigation District,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),Napa County Flood Control & Water Conservation District,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),Placer County Water Agency,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),Sacramento County Water Agency,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),San Juan Water District,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),Shasta Contractors,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),Solano County Water Agency,0,0,0,0,0,Sacramento Valley transfer (CWEST)
Water Market Transfer Loss Factor (%),City of Avenal,18,18,18,18,18,Cross-delta conveyance loss (CWEST)
