Variable,Contractor,2025,2030,2035,2040,2045,Notes
Supply Incremental Size (AFY),Butte County,1,1,1,1,1,
Supply Incremental Size (AFY),City of Folsom,1,1,1,1,1,
Supply Incremental Size (AFY),City of Redding,1,1,1,1,1,
Supply Incremental Size (AFY),City of Roseville,1,1,1,1,1,
Supply Incremental Size (AFY),City of West Sacramento,1,1,1,1,1,
Supply Incremental Size (AFY),Yuba City,1,1,1,1,1,
Supply Incremental Size (AFY),El Dorado Irrigation District,1,1,1,1,1,
Supply Incremental Size (AFY),Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Supply Incremental Size (AFY),Placer County Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),Sacramento County Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),San Juan Water District,1,1,1,1,1,
Supply Incremental Size (AFY),Shasta Contractors,1,1,1,1,1,
Supply Incremental Size (AFY),Solano County Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),City of Avenal,1,1,1,1,1,
Supply Incremental Size (AFY),City of Coalinga,1,1,1,1,1,
Supply Incremental Size (AFY),City of Fresno,1,1,1,1,1,
Supply Incremental Size (AFY),City of Huron,1,1,1,1,1,
Supply Incremental Size (AFY),City of Lindsay,1,1,1,1,1,
Supply Incremental Size (AFY),City of Orange Cove,1,1,1,1,1,
Supply Incremental Size (AFY),City of Tracy,1,1,1,1,1,
Supply Incremental Size (AFY),Kern County Water Agency Improvement District No 4,1,1,1,1,1,
Supply Incremental Size (AFY),Other Friant-Kern M&I Contractors,1,1,1,1,1,
Supply Incremental Size (AFY),Stockton-East Water District,1,1,1,1,1,
Supply Incremental Size (AFY),"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Supply Incremental Size (AFY),Alameda County Water District,1,1,1,1,1,
Supply Incremental Size (AFY),Contra Costa Water District,1,1,1,1,1,
Supply Incremental Size (AFY),East Bay Municipal Utilities District,1,1,1,1,1,
Supply Incremental Size (AFY),"San Benito County Water District, Zone 6",1,1,1,1,1,
Supply Incremental Size (AFY),Santa Clara Valley Water District,1,1,1,1,1,
Supply Incremental Size (AFY),San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Supply Incremental Size (AFY),Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Supply Incremental Size (AFY),Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),Santa Clarita Water Division,1,1,1,1,1,
Supply Incremental Size (AFY),Coachella Valley Water District,1,1,1,1,1,
Supply Incremental Size (AFY),Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),Desert Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),Metropolitan Water District of Southern California,1,1,1,1,1,
Supply Incremental Size (AFY),Mojave Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Supply Incremental Size (AFY),San Bernardino Valley Municipal Water District,1,1,1,1,1,
Supply Incremental Size (AFY),San Gabriel Valley Municipal Water District,1,1,1,1,1,
Supply Incremental Size (AFY),San Gorgonio Pass Water Agency,1,1,1,1,1,
Supply Incremental Size (AFY),Ventura County Watershed Protection District,1,1,1,1,1,
