Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,City of Folsom,9710,10587,11156,11494,11498,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,City of Redding,4803,4904,5007,5112,5219,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,City of Roseville,22564,24508,26281,26281,26281,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,City of West Sacramento,5870,6640,7230,7530,8640,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,Yuba City,7250,7520,7860,8270,8680,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,El Dorado Irrigation District,17690,17690,17690,17690,17690,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,Placer County Water Agency,19159,22100,25493,29408,31034,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,Sacramento County Water Agency,28528,31701,34856,37357,39908,
Single Family Residential Use (AFY),Central Valley - Sacramento Valley,San Juan Water District,35935,36261,35534,35994,36433,
Single Family Residential Use (AFY),Central Valley - San Joaquin Valley,City of Coalinga,1890.434916,2148.221495,2439.765841,2768.136841,0,
Single Family Residential Use (AFY),Central Valley - San Joaquin Valley,City of Fresno,76255,80429,82934,85437,87936,
Single Family Residential Use (AFY),Central Valley - San Joaquin Valley,City of Tracy,10753.08,11869.87,13013.63,14173.55,16221.23,
Single Family Residential Use (AFY),Central Valley - San Joaquin Valley,Stockton-East Water District,27991,28287,31563,34790,34913,
Single Family Residential Use (AFY),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Single Family Residential Use (AFY),San Francisco Bay Area,Alameda County Water District,18300,17700,17100,16700,16400,
Single Family Residential Use (AFY),San Francisco Bay Area,Contra Costa Water District,20900,21500,22200,23000,23400,
Single Family Residential Use (AFY),San Francisco Bay Area,East Bay Municipal Utilities District,0,0,0,0,0,
Single Family Residential Use (AFY),San Francisco Bay Area,"San Benito County Water District, Zone 6",0,0,0,0,0,
Single Family Residential Use (AFY),San Francisco Bay Area,Santa Clara Valley Water District,0,0,0,0,0,
Single Family Residential Use (AFY),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Single Family Residential Use (AFY),Southern California,Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Single Family Residential Use (AFY),Southern California,Santa Clarita Water Division,100352.6327,106490.4084,111093.7402,115083.2944,117845.2934,
Single Family Residential Use (AFY),Southern California,Metropolitan Water District of Southern California,1912000,1936000,1959000,1983000,2012000,
Single Family Residential Use (AFY),Southern California,Mojave Water Agency,0,0,0,0,0,
Single Family Residential Use (AFY),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,11460,11730,12310,12970,13660,
Single Family Residential Use (AFY),Southern California,San Bernardino Valley Municipal Water District,0,0,0,0,0,
Single Family Residential Use (AFY),Southern California,San Gorgonio Pass Water Agency,0,0,0,0,0,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,City of Folsom,2056,2458,2780,2970,3136,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,City of Redding,824,841,859,877,895,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,City of Roseville,1752,2029,2725,2725,2725,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,City of West Sacramento,1368,1490,1550,1610,1760,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,Yuba City,1650,1690,1740,1800,1860,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,El Dorado Irrigation District,1520,1520,1520,1520,1520,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,Placer County Water Agency,2521,2877,3285,3755,3980,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,Sacramento County Water Agency,1971,2708,3445,4152,4860,
Multi-Family Residential Use (AFY),Central Valley - Sacramento Valley,San Juan Water District,3421,3465,3552,3632,3719,
Multi-Family Residential Use (AFY),Central Valley - San Joaquin Valley,City of Coalinga,156.5132804,174.9266075,199.4777103,227.0977009,0,
Multi-Family Residential Use (AFY),Central Valley - San Joaquin Valley,City of Fresno,19000,20654,21737,22831,23935,
Multi-Family Residential Use (AFY),Central Valley - San Joaquin Valley,City of Tracy,1409.02,1509.26,1613.61,1720.34,2479.49,
Multi-Family Residential Use (AFY),Central Valley - San Joaquin Valley,Stockton-East Water District,4405,4419,4917,5420,5412,
Multi-Family Residential Use (AFY),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Multi-Family Residential Use (AFY),San Francisco Bay Area,Alameda County Water District,9800,10000,10200,10500,14100,
Multi-Family Residential Use (AFY),San Francisco Bay Area,Contra Costa Water District,8400,8700,9000,9300,9500,
Multi-Family Residential Use (AFY),San Francisco Bay Area,East Bay Municipal Utilities District,0,0,0,0,0,
Multi-Family Residential Use (AFY),San Francisco Bay Area,"San Benito County Water District, Zone 6",0,0,0,0,0,
Multi-Family Residential Use (AFY),San Francisco Bay Area,Santa Clara Valley Water District,0,0,0,0,0,
Multi-Family Residential Use (AFY),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
